# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	1.49363274e-03	1.22493000e-01	3.33666954e-03	3.16196751e-03	1.74702031e-04
1               	1.18324725e+01	1.71921384e+01	3.79204649e+01	3.07927049e+01	7.12775996e+00
2               	8.83759154e-01	1.14327611e+00	2.70479169e+00	2.23615500e+00	4.68636691e-01
3               	-8.94627632e-02	6.37337050e+00	-6.72032809e-01	-4.25479168e-01	-2.46553641e-01
4               	-3.68429610e-02	1.55102900e-01	3.78655691e-02	-1.79101764e-02	5.57757456e-02
5               	2.85806575e-02	1.00810491e+00	2.59007964e-01	1.58084639e-01	1.00923324e-01
6               	1.94815234e-02	2.14060455e-01	2.49835291e-01	1.44399169e-01	1.05436122e-01
7               	-5.41999411e-03	1.39720177e-01	-2.36918420e-02	-1.72659151e-02	-6.42592688e-03
8               	-4.60718150e-02	9.39130895e-02	-1.59081700e-01	-1.25612665e-01	-3.34690351e-02
9               	-2.40938747e-02	5.43685651e-02	-1.58503257e-01	-1.03345503e-01	-5.51577537e-02
10              	5.07229733e-02	5.94506532e-02	1.24078154e-01	1.12762050e-01	1.13161035e-02
11              	1.62333180e-02	-1.63355006e-03	4.79746920e-02	4.02206639e-02	7.75402803e-03
12              	3.08871552e-03	-1.30900162e-03	4.08370280e-02	2.35072295e-02	1.73297985e-02
13              	1.06700445e-02	7.36976805e-05	1.37581698e-01	7.94608936e-02	5.81208045e-02
14              	1.52584532e-02	1.82759472e-02	8.45743456e-02	5.75456260e-02	2.70287196e-02
15              	4.63564856e-04	5.18970253e-03	4.74602305e-02	2.41936801e-02	2.32665504e-02
16              	8.76865905e-03	1.07318969e-02	4.31485534e-02	3.03429358e-02	1.28056177e-02
17              	-1.23995319e-03	7.87008863e-04	4.21327159e-02	1.98264048e-02	2.23063111e-02
18              	5.46177010e-03	1.22794115e-02	6.22918282e-02	3.66076842e-02	2.56841440e-02
19              	2.06519764e-03	-7.49317395e-03	6.43857057e-02	3.42580505e-02	3.01276552e-02
20              	2.52968224e-03	6.42385649e-03	9.16971986e-02	4.83782815e-02	4.33189171e-02
21              	2.84029907e-03	-1.36923061e-02	6.45188969e-02	3.50997475e-02	2.94191494e-02
22              	-1.16261418e-03	4.63113747e-03	1.00091389e-01	4.88830802e-02	5.12083085e-02
23              	2.27762352e-03	-1.34021398e-02	6.58806904e-02	3.52179687e-02	3.06627217e-02
24              	-5.22812972e-03	-2.82515079e-03	1.01192076e-01	4.53679083e-02	5.58241677e-02
25              	6.18736520e-03	-1.40261944e-02	7.99928376e-02	4.61837840e-02	3.38090536e-02
26              	-5.86453183e-03	-5.22365104e-03	1.01236272e-01	4.47536041e-02	5.64826678e-02
27              	7.32139220e-03	-1.52607084e-02	9.47453629e-02	5.46940737e-02	4.00512893e-02
28              	-6.85650387e-03	-6.28845188e-03	9.78030870e-02	4.20450396e-02	5.57580474e-02
29              	7.59815510e-03	-2.08393335e-02	9.80010435e-02	5.65986768e-02	4.14023666e-02
