# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	1.59749157e-03	1.24081861e-01	3.33666966e-03	3.26582640e-03	7.08432595e-05
1               	2.62149706e+00	3.80794476e+00	8.35833648e+00	6.80066530e+00	1.55767118e+00
2               	2.44510484e-01	3.53334350e-01	7.03821620e-01	5.96421294e-01	1.07400326e-01
3               	1.03099173e-01	1.53199323e-01	2.80721184e-01	2.43459765e-01	3.72614195e-02
4               	-3.36266438e-03	5.27163250e-02	3.42314903e-02	1.37530808e-02	2.04784095e-02
5               	-7.51815440e-03	2.24554252e-02	2.42666754e-02	4.61518331e-03	1.96514921e-02
6               	-3.43495443e-03	8.97985911e-03	2.69815994e-02	1.00558453e-02	1.69257541e-02
7               	-2.83079171e-04	3.28798480e-04	3.59331138e-02	1.76834777e-02	1.82496361e-02
8               	-6.63947992e-05	2.93002012e-04	3.96906509e-02	1.97789306e-02	1.99117202e-02
9               	-1.18558114e-04	-8.07301401e-04	3.76098102e-02	1.86863470e-02	1.89234632e-02
10              	-6.90158169e-04	1.61803604e-03	3.65310027e-02	1.75753432e-02	1.89556595e-02
11              	-1.32272953e-03	1.82897554e-03	3.58789885e-02	1.66167647e-02	1.92622238e-02
12              	-1.60364339e-03	3.34926102e-03	3.70194434e-02	1.69060783e-02	2.01133651e-02
13              	-1.68253065e-03	3.26221718e-03	3.67667266e-02	1.67008326e-02	2.00658939e-02
14              	-1.66296541e-03	4.34410156e-03	3.67385560e-02	1.67063126e-02	2.00322434e-02
15              	-1.72756734e-03	3.89174055e-03	3.57306729e-02	1.61377691e-02	1.95929038e-02
16              	-1.77100507e-03	4.40495536e-03	3.54589505e-02	1.59584702e-02	1.95004803e-02
17              	-1.88357723e-03	3.60663032e-03	3.45699242e-02	1.54013849e-02	1.91685393e-02
18              	-1.87486266e-03	3.97984704e-03	3.43527866e-02	1.53015306e-02	1.90512560e-02
19              	-2.02938274e-03	3.24095715e-03	3.36097850e-02	1.47755098e-02	1.88342752e-02
20              	-1.93906702e-03	3.63350675e-03	3.36871665e-02	1.49045162e-02	1.87826503e-02
21              	-1.93087332e-03	3.11414470e-03	3.34833619e-02	1.48108076e-02	1.86725543e-02
22              	-1.81205169e-03	3.54525460e-03	3.37960546e-02	1.50859756e-02	1.87100790e-02
23              	-1.70951972e-03	3.17075242e-03	3.39303389e-02	1.52556497e-02	1.86746892e-02
24              	-1.55484977e-03	3.53565306e-03	3.43706495e-02	1.56304750e-02	1.87401745e-02
25              	-1.45390426e-03	3.25284245e-03	3.45198971e-02	1.58060443e-02	1.87138528e-02
26              	-1.30357253e-03	3.53710937e-03	3.49058333e-02	1.61493441e-02	1.87564892e-02
27              	-1.18868329e-03	3.32974069e-03	3.50573940e-02	1.63400137e-02	1.87173803e-02
28              	-1.04007723e-03	3.55673840e-03	3.53578369e-02	1.66388412e-02	1.87189957e-02
29              	-8.58188487e-04	3.41435961e-03	3.56075027e-02	1.69455629e-02	1.86619398e-02
30              	-6.01652364e-04	3.63144259e-03	3.60824630e-02	1.74395791e-02	1.86428838e-02
31              	-3.13824753e-04	3.55833026e-03	3.65860396e-02	1.79791951e-02	1.86068446e-02
32              	1.73345485e-05	3.78154535e-03	3.72386540e-02	1.86366615e-02	1.86019924e-02
33              	3.67264944e-04	3.76531305e-03	3.78995246e-02	1.93170273e-02	1.85824974e-02
34              	7.08947742e-04	3.96614586e-03	3.85857270e-02	2.00018112e-02	1.85839157e-02
35              	1.03941865e-03	3.96378700e-03	3.92058304e-02	2.06423338e-02	1.85634965e-02
36              	1.32117110e-03	4.11447001e-03	3.97687821e-02	2.12055621e-02	1.85632199e-02
37              	1.57369952e-03	4.09524455e-03	4.02500202e-02	2.16987096e-02	1.85513106e-02
38              	1.79629429e-03	4.19815873e-03	4.06966687e-02	2.21446286e-02	1.85520400e-02
39              	1.97772667e-03	4.16232202e-03	4.10621727e-02	2.25088130e-02	1.85533597e-02
40              	2.08967656e-03	4.21391119e-03	4.13575751e-02	2.27684641e-02	1.85891110e-02
41              	2.12832103e-03	4.14918983e-03	4.15598597e-02	2.29082509e-02	1.86516088e-02
42              	2.10228306e-03	4.14852260e-03	4.17006026e-02	2.29525843e-02	1.87480182e-02
43              	2.03258323e-03	4.06275879e-03	4.17748216e-02	2.29199940e-02	1.88548276e-02
44              	1.94473721e-03	4.02889469e-03	4.18407499e-02	2.28651122e-02	1.89756377e-02
45              	1.86325351e-03	3.96000949e-03	4.18849481e-02	2.28057276e-02	1.90792206e-02
46              	1.81003436e-03	3.91158796e-03	4.19655243e-02	2.27927965e-02	1.91727278e-02
47              	1.77671535e-03	3.86553907e-03	4.20759085e-02	2.28146696e-02	1.92612389e-02
48              	1.75276881e-03	3.82542825e-03	4.22022551e-02	2.28538963e-02	1.93483587e-02
49              	1.73133346e-03	3.78832831e-03	4.23300934e-02	2.28963802e-02	1.94337133e-02
50              	1.70524752e-03	3.74515012e-03	4.24373254e-02	2.29239102e-02	1.95134152e-02
51              	1.68331287e-03	3.71157580e-03	4.25537311e-02	2.29601784e-02	1.95935527e-02
52              	1.66241646e-03	3.67763178e-03	4.26793374e-02	2.30020851e-02	1.96772522e-02
