# Force coefficients
# liftDir       : (-8.71556741e-02 9.96194704e-01 0.00000000e+00)
# dragDir       : (9.96194704e-01 8.71556741e-02 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 1.00000000e+00)
# magUInf       : 3.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (2.50000000e-01 0.00000000e+00 0.00000000e+00)
# Time          	Cm              	Cd              	Cl              	Cl(f)           	Cl(r)           
0               	1.59749157e-03	1.24081861e-01	3.33666966e-03	3.26582640e-03	7.08432595e-05
1               	2.61732788e+00	3.80709628e+00	8.34582649e+00	6.79024112e+00	1.55558537e+00
2               	2.56347282e-01	2.61598712e-01	4.36239835e-01	4.74467199e-01	-3.82273640e-02
3               	1.08252153e-01	2.26718599e-01	2.75568630e-01	2.46036469e-01	2.95321619e-02
4               	7.48945404e-03	1.05293299e-01	6.31830844e-02	3.90809962e-02	2.41020882e-02
5               	-5.25866351e-03	4.40921536e-02	6.73967065e-02	2.84396897e-02	3.89570168e-02
6               	-2.04895459e-03	1.03522429e-02	6.00973211e-02	2.79997060e-02	3.20976151e-02
7               	1.17980060e-04	-4.24342953e-03	6.26088917e-02	3.14224259e-02	3.11864658e-02
8               	-2.95219053e-04	-1.39156423e-02	6.03516811e-02	2.98806215e-02	3.04710596e-02
9               	-2.23153083e-03	-4.60024367e-03	5.90278444e-02	2.72823914e-02	3.17454530e-02
10              	-3.76653736e-03	-3.19205366e-03	5.50244435e-02	2.37456844e-02	3.12787591e-02
11              	-3.58952360e-03	7.29614616e-04	5.04125498e-02	2.16167513e-02	2.87957985e-02
12              	-3.57830304e-03	1.92064749e-03	4.48529136e-02	1.88481537e-02	2.60047598e-02
13              	-2.65358898e-03	3.69205775e-03	4.16487060e-02	1.81707640e-02	2.34779420e-02
14              	-1.90711528e-03	4.09783093e-03	3.93611711e-02	1.77734703e-02	2.15877008e-02
15              	-1.39866973e-03	4.99382224e-03	3.95412036e-02	1.83719321e-02	2.11692715e-02
16              	-1.16203495e-03	4.68448144e-03	3.96198357e-02	1.86478829e-02	2.09719528e-02
17              	-1.11621487e-03	4.94438871e-03	3.90285680e-02	1.83980691e-02	2.06304989e-02
18              	-1.21487274e-03	4.58713886e-03	3.79817956e-02	1.77760251e-02	2.02057705e-02
19              	-1.16381304e-03	4.72007169e-03	3.73750861e-02	1.75237300e-02	1.98513561e-02
20              	-9.67583284e-04	4.57450173e-03	3.69783075e-02	1.75215705e-02	1.94567371e-02
21              	-5.47435862e-04	4.77201098e-03	3.72299700e-02	1.80675491e-02	1.91624208e-02
22              	-9.87461544e-05	4.79676328e-03	3.74071089e-02	1.86048083e-02	1.88023006e-02
23              	3.66666342e-04	4.99595700e-03	3.78602850e-02	1.92968088e-02	1.85634762e-02
24              	8.00414078e-04	5.04834034e-03	3.83280215e-02	1.99644249e-02	1.83635967e-02
25              	1.24636107e-03	5.23963736e-03	3.89506654e-02	2.07216938e-02	1.82289716e-02
26              	1.69798770e-03	5.35804951e-03	3.95425010e-02	2.14692382e-02	1.80732628e-02
27              	2.25131000e-03	5.60414132e-03	4.02981470e-02	2.24003835e-02	1.78977635e-02
28              	2.89281229e-03	5.82627026e-03	4.11236227e-02	2.34546236e-02	1.76689991e-02
29              	3.64903657e-03	6.12779798e-03	4.21089234e-02	2.47034982e-02	1.74054251e-02
30              	4.44890944e-03	6.39870160e-03	4.31313714e-02	2.60145952e-02	1.71167763e-02
31              	5.24967492e-03	6.69803256e-03	4.41523798e-02	2.73258648e-02	1.68265150e-02
32              	5.87153183e-03	6.87452258e-03	4.49066856e-02	2.83248747e-02	1.65818110e-02
33              	6.35534387e-03	7.00286443e-03	4.55251656e-02	2.91179267e-02	1.64072389e-02
34              	6.73036631e-03	7.08826109e-03	4.59929162e-02	2.97268244e-02	1.62660918e-02
35              	7.04071725e-03	7.15126524e-03	4.63694944e-02	3.02254645e-02	1.61440299e-02
36              	7.29372516e-03	7.18593259e-03	4.66587677e-02	3.06231090e-02	1.60356587e-02
37              	7.52252327e-03	7.20336947e-03	4.69078944e-02	3.09764705e-02	1.59314239e-02
38              	7.76425616e-03	7.22150851e-03	4.71773155e-02	3.13529139e-02	1.58244016e-02
39              	8.04636816e-03	7.25070949e-03	4.75171703e-02	3.18049533e-02	1.57122170e-02
40              	8.29531570e-03	7.26134676e-03	4.77974588e-02	3.21940451e-02	1.56034137e-02
41              	8.55271133e-03	7.27401029e-03	4.80976114e-02	3.26015170e-02	1.54960944e-02
42              	8.78744130e-03	7.27644382e-03	4.83519338e-02	3.29634082e-02	1.53885256e-02
43              	8.95384053e-03	7.25387504e-03	4.85002331e-02	3.32039571e-02	1.52962760e-02
44              	9.04142946e-03	7.20375128e-03	4.85308168e-02	3.33068379e-02	1.52239789e-02
45              	9.02904420e-03	7.11796968e-03	4.83964729e-02	3.32272806e-02	1.51691923e-02
46              	8.90434822e-03	6.99074012e-03	4.80889107e-02	3.29488036e-02	1.51401071e-02
47              	8.66264073e-03	6.82017518e-03	4.75985539e-02	3.24619177e-02	1.51366362e-02
48              	8.34151328e-03	6.62074998e-03	4.70152910e-02	3.18491588e-02	1.51661322e-02
49              	7.93930273e-03	6.39340844e-03	4.63303187e-02	3.11044621e-02	1.52258566e-02
50              	7.46093670e-03	6.13925209e-03	4.55567600e-02	3.02393167e-02	1.53174433e-02
51              	6.95043282e-03	5.87776797e-03	4.47701795e-02	2.93355225e-02	1.54346569e-02
52              	6.40348140e-03	5.60754960e-03	4.39910945e-02	2.83990286e-02	1.55920658e-02
