run_id,naca_code,reynolds,aoa,ood,m_coded,p_coded,t_coded,reynolds_coded,aoa_coded
1,4624,900000.0,10.0,1,0,1,1,1,1
2,6424,100000.0,-10.0,1,1,0,1,-1,-1
3,6615,900000.0,-10.0,1,1,1,0,1,-1
4,6224,500000.0,10.0,1,1,-1,1,0,1
5,6206,900000.0,0.0,1,1,-1,-1,1,0
6,6606,100000.0,10.0,1,1,1,-1,-1,1
7,4206,100000.0,-10.0,1,0,-1,-1,-1,-1
8,2406,900000.0,10.0,1,-1,0,-1,1,1
9,2215,100000.0,10.0,1,-1,-1,0,-1,1
10,2606,500000.0,-10.0,1,-1,1,-1,0,-1
11,2624,100000.0,0.0,0,-1,1,1,-1,0
12,2224,900000.0,-10.0,1,-1,-1,1,1,-1
13,4415,500000.0,0.0,0,0,0,0,0,0
