run_id,naca_code,reynolds,aoa,ood,cl_ref,cd_ref,cl_gno,cd_gno,dcl,dcd,rel_cl,rel_cd
1,4624,900000.0,10.0,1,1.31827,0.02222,0.58892,0.04060,-0.72935,0.01838,0.55326,0.82689
2,6424,100000.0,-10.0,1,-0.15430,0.11291,-0.09104,0.18004,0.06326,0.06714,0.41000,0.59461
3,6615,900000.0,-10.0,1,-0.27433,0.01262,-0.13415,0.02180,0.14018,0.00918,0.51101,0.72696
4,6224,500000.0,10.0,1,1.28481,0.03112,0.78592,0.04994,-0.49889,0.01882,0.38830,0.60456
5,6206,900000.0,0.0,1,0.60264,0.01115,0.46707,0.01421,-0.13557,0.00306,0.22496,0.27444
6,6606,100000.0,10.0,1,1.30134,0.09991,0.88083,0.14843,-0.42050,0.04852,0.32313,0.48565
7,4206,100000.0,-10.0,1,-0.42480,0.12894,-0.29887,0.18828,0.12593,0.05933,0.29645,0.46012
8,2406,900000.0,10.0,1,1.01076,0.07371,0.51344,0.12652,-0.49732,0.05280,0.49203,0.71631
9,2215,100000.0,10.0,1,1.23596,0.03283,0.82849,0.04881,-0.40747,0.01598,0.32968,0.48684
10,2606,500000.0,-10.0,1,-0.52793,0.11403,-0.33069,0.17118,0.19724,0.05715,0.37361,0.50117
11,2624,100000.0,0.0,0,0.11905,0.02822,0.13582,0.03198,0.01677,0.00376,0.14085,0.13307
12,2224,900000.0,-10.0,1,-0.75165,0.01350,-0.33621,0.02450,0.41544,0.01100,0.55270,0.81502
13,4415,500000.0,0.0,0,0.47651,0.00830,0.45979,0.00878,-0.01672,0.00049,0.03509,0.05855
